qid,competition,timestamp,section,number,original_question,original_answer,original_additional_info,question,answers
AIO04-0001,第4回AI王,2023/09/01,開発用データ,1,1945年、ラテンアメリカの文学者として初めてノーベル文学賞を受賞した、チリの詩人は誰？,ガブリエラ・ミストラル,ミストラル,1945年、ラテンアメリカの文学者として初めてノーベル文学賞を受賞した、チリの詩人は誰?,"['ガブリエラ・ミストラル', 'ミストラル']"
AIO04-0002,第4回AI王,2023/09/01,開発用データ,2,和歌山県新宮市に名前を冠した公園が建てられている、古代中国で秦の始皇帝の命を受け、不老不死の薬を求めて日本に旅立った人物は誰？,徐福,,和歌山県新宮市に名前を冠した公園が建てられている、古代中国で秦の始皇帝の命を受け、不老不死の薬を求めて日本に旅立った人物は誰?,['徐福']
AIO04-0003,第4回AI王,2023/09/01,開発用データ,3,サンスクリット語で「南」という意味の言葉に由来する、インドの南側の大部分を占める高原は何？,デカン高原,,サンスクリット語で「南」という意味の言葉に由来する、インドの南側の大部分を占める高原は何?,['デカン高原']
AIO04-0004,第4回AI王,2023/09/01,開発用データ,4,ミシガン湖に面したアメリカ・イリノイ州の都市で、ニューヨーク、ロサンゼルスに次いで3番目に人口の多い都市はどこ？,シカゴ,,ミシガン湖に面したアメリカ・イリノイ州の都市で、ニューヨーク、ロサンゼルスに次いで3番目に人口の多い都市はどこ?,['シカゴ']
AIO04-0005,第4回AI王,2023/09/01,開発用データ,5,味がまずい魚のことを、猫でさえ見向きもしないということから俗に何という？,ねこまたぎ,"猫またぎ, 猫跨ぎ",味がまずい魚のことを、猫でさえ見向きもしないということから俗に何という?,"['ねこまたぎ', '猫またぎ', '猫跨ぎ']"
AIO04-0006,第4回AI王,2023/09/01,開発用データ,6,この岬を通る西経67度線より東を大西洋、西を太平洋と区分する、南アメリカ大陸最南端の岬はどこ？,ホーン岬,,この岬を通る西経67度線より東を大西洋、西を太平洋と区分する、南アメリカ大陸最南端の岬はどこ?,['ホーン岬']
AIO04-0007,第4回AI王,2023/09/01,開発用データ,7,映画『ゴーストバスターズ』のラストで、破壊神ゴーザが変身した怪物の名前は何？,マシュマロマン,,映画『ゴーストバスターズ』のラストで、破壊神ゴーザが変身した怪物の名前は何?,['マシュマロマン']
AIO04-0008,第4回AI王,2023/09/01,開発用データ,8,優れた才能を持ち、将来が期待される少年を、ある想像上の生き物にたとえて何という？,麒麟児,鳳児,優れた才能を持ち、将来が期待される少年を、ある想像上の生き物にたとえて何という?,"['麒麟児', '鳳児']"
AIO04-0009,第4回AI王,2023/09/01,開発用データ,9,SF作品などに登場する、ある世界から分岐し、それに並行して存在する別の世界を何という？,パラレルワールド,,SF作品などに登場する、ある世界から分岐し、それに並行して存在する別の世界を何という?,['パラレルワールド']
AIO04-0010,第4回AI王,2023/09/01,開発用データ,10,「物質に光をあてると、電子が放出されたり電流が流れたりする現象」のことで、1921年にアインシュタインがこの研究によりノーベル物理学賞を受賞した効果は何？,光電効果,,「物質に光をあてると、電子が放出されたり電流が流れたりする現象」のことで、1921年にアインシュタインがこの研究によりノーベル物理学賞を受賞した効果は何?,['光電効果']
AIO04-0011,第4回AI王,2023/09/01,開発用データ,11,ギリシャの哲学者ソクラテスが用いた、対話によって相手の無知・矛盾をつき、より高度な真理を導く方法を、彼の母親の職業から何という？,産婆術,,ギリシャの哲学者ソクラテスが用いた、対話によって相手の無知・矛盾をつき、より高度な真理を導く方法を、彼の母親の職業から何という?,['産婆術']
AIO04-0012,第4回AI王,2023/09/01,開発用データ,12,アメリカ独立100周年の1876年に州に昇格したことから「100年記念州」と呼ばれる、デンバーを州都とする州はどこ？,コロラド州,コロラド,アメリカ独立100周年の1876年に州に昇格したことから「100年記念州」と呼ばれる、デンバーを州都とする州はどこ?,"['コロラド州', 'コロラド']"
AIO04-0013,第4回AI王,2023/09/01,開発用データ,13,イスラム教で、イスラム暦の12番目の月に行われる、メッカへの巡礼のことを何という？,ハッジ,"ハジ, ハッジュ",イスラム教で、イスラム暦の12番目の月に行われる、メッカへの巡礼のことを何という?,"['ハッジ', 'ハジ', 'ハッジュ']"
AIO04-0014,第4回AI王,2023/09/01,開発用データ,14,『君恋し』『有楽町で逢いましょう』などのヒット曲で知られる、今は亡き歌手は誰？,フランク永井,,『君恋し』『有楽町で逢いましょう』などのヒット曲で知られる、今は亡き歌手は誰?,['フランク永井']
AIO04-0015,第4回AI王,2023/09/01,開発用データ,15,大阪府池田市にある逸翁美術館の「逸翁」とは誰のこと？,小林一三,,大阪府池田市にある逸翁美術館の「逸翁」とは誰のこと?,['小林一三']
AIO04-0016,第4回AI王,2023/09/01,開発用データ,16,神武景気と岩戸景気の間の、1957年～58年ごろの不況を、ある台所用品にたとえて何不況という？,なべ底不況,なべ底,神武景気と岩戸景気の間の、1957年〜58年ごろの不況を、ある台所用品にたとえて何不況という?,"['なべ底不況', 'なべ底']"
AIO04-0017,第4回AI王,2023/09/01,開発用データ,17,『黄金の羅針盤』『神秘の短剣』『琥珀の望遠鏡』の三部からなる、イギリスの作家フィリップ・プルマンのファンタジー小説は何？,ライラの冒険,,『黄金の羅針盤』『神秘の短剣』『琥珀の望遠鏡』の三部からなる、イギリスの作家フィリップ・プルマンのファンタジー小説は何?,['ライラの冒険']
AIO04-0018,第4回AI王,2023/09/01,開発用データ,18,斜方、単斜、ゴム状など多くの同素体を持つ、原子番号16の元素は何？,硫黄,,斜方、単斜、ゴム状など多くの同素体を持つ、原子番号16の元素は何?,['硫黄']
AIO04-0019,第4回AI王,2023/09/01,開発用データ,19,全国のタケノコの生産量の約4分の1を占める、ブランドにもなっている「合馬タケノコ」で知られる都道府県はどこ？,福岡県,福岡,全国のタケノコの生産量の約4分の1を占める、ブランドにもなっている「合馬タケノコ」で知られる都道府県はどこ?,"['福岡県', '福岡']"
AIO04-0020,第4回AI王,2023/09/01,開発用データ,20,アインシュタインの共同研究者として一般相対性理論や量子重力理論の理論研究を手がけたアメリカの物理学者で、ワームホールを命名したことでも知られるのは誰？,ジョン・ホイーラー,"ホイーラー, ジョン・アーチボルト・ホイーラー",アインシュタインの共同研究者として一般相対性理論や量子重力理論の理論研究を手がけたアメリカの物理学者で、ワームホールを命名したことでも知られるのは誰?,"['ジョン・ホイーラー', 'ホイーラー', 'ジョン・アーチボルト・ホイーラー']"
